Algorithm,N,Time_ms,Max_Depth,Comparisons,Allocations
MergeSort,50000,2,874,12,347008,1250000
QuickSort,50000,37,374,236,7924554,23638632
TimSort,50000,0,031,0,0,0
MergeSort,50000,3,510,12,579408,2091536
QuickSort,50000,29,342,169,5755588,17136843
TimSort,50000,0,087,0,0,0
MergeSort,50000,11,509,12,769121,1669748
QuickSort,50000,11,174,25,889477,2536344
TimSort,50000,7,313,0,0,0
MergeSort,50000,2,493,12,347008,1250000
QuickSort,50000,34,791,236,7924554,23638632
TimSort,50000,0,038,0,0,0
MergeSort,50000,3,486,12,579408,2091536
QuickSort,50000,23,266,169,5755588,17136843
TimSort,50000,0,071,0,0,0
MergeSort,50000,8,033,12,769594,1669892
QuickSort,50000,8,788,21,814476,2311431
TimSort,50000,7,488,0,0,0
MergeSort,50000,2,647,12,347008,1250000
QuickSort,50000,77,040,236,7924554,23638632
TimSort,50000,0,033,0,0,0
MergeSort,50000,3,470,12,579408,2091536
QuickSort,50000,17,016,169,5755588,17136843
TimSort,50000,0,096,0,0,0
MergeSort,100000,18,524,13,1639415,3542505
QuickSort,100000,24,731,26,1779810,5075064
TimSort,100000,15,797,0,0,0
MergeSort,100000,6,612,13,744016,2700000
QuickSort,100000,72,427,331,22164916,66214419
TimSort,100000,0,032,0,0,0
MergeSort,100000,4,000,13,1208816,4383072
QuickSort,100000,63,367,238,15998436,47725224
TimSort,100000,0,192,0,0,0
MergeSort,100000,22,837,13,1638712,3539637
QuickSort,100000,22,254,26,1796020,5123832
TimSort,100000,16,043,0,0,0
MergeSort,100000,5,834,13,744016,2700000
QuickSort,100000,98,488,331,22164916,66214419
TimSort,100000,0,080,0,0,0
MergeSort,100000,6,280,13,1208816,4383072
QuickSort,100000,52,604,238,15998436,47725224
TimSort,100000,0,095,0,0,0
MergeSort,100000,18,824,13,1640460,3544626
QuickSort,100000,15,919,24,1770649,5047794
TimSort,100000,12,550,0,0,0
MergeSort,100000,5,334,13,744016,2700000
QuickSort,100000,73,466,331,22164916,66214419
TimSort,100000,0,082,0,0,0
MergeSort,100000,4,106,13,1208816,4383072
QuickSort,100000,66,413,238,15998436,47725224
TimSort,100000,0,176,0,0,0
MergeSort,100000,19,328,13,1638946,3541041
QuickSort,100000,20,762,25,1787952,5099610
TimSort,100000,17,110,0,0,0
MergeSort,100000,4,792,13,744016,2700000
QuickSort,100000,72,862,331,22164916,66214419
TimSort,100000,0,067,0,0,0
MergeSort,100000,4,765,13,1208816,4383072
QuickSort,100000,55,492,238,15998436,47725224
TimSort,100000,0,175,0,0,0
MergeSort,100000,22,067,13,1639716,3542631
QuickSort,100000,20,924,24,1755395,5001684
TimSort,100000,9,607,0,0,0
MergeSort,100000,3,668,13,744016,2700000
QuickSort,100000,71,162,331,22164916,66214419
TimSort,100000,0,056,0,0,0
MergeSort,100000,5,465,13,1208816,4383072
QuickSort,100000,70,132,238,15998436,47725224
TimSort,100000,0,108,0,0,0
